Year,HouseHoldID,communityID,has_running_water,inhouse_shower_Bath,cooking_fuel_source,province,city,urban_nbs
2011,014051204,0140512,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051219,0140512,2 No,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051226,0140512,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051210,0140512,2 No,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051221,0140512,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051224,0140512,1 Yes,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051203,0140512,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051217,0140512,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051211,0140512,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051214,0140512,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051206,0140512,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051209,0140512,2 No,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051225,0140512,1 Yes,3 No,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051213,0140512,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051208,0140512,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051202,0140512,2 No,3 No,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051215,0140512,1 Yes,3 No,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051212,0140512,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051222,0140512,1 Yes,3 No,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051201,0140512,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051205,0140512,1 Yes,3 No,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051218,0140512,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051216,0140512,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051223,0140512,1 Yes,3 No,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051207,0140512,1 Yes,2 Water heater installed by the household,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031116,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031105,0140311,1 Yes,2 Water heater installed by the household,1 Coal,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031121,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031119,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031122,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031103,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031107,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031101,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031123,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031112,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031109,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031108,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031118,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031113,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031102,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031120,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031114,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031110,0140311,1 Yes,,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031111,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031115,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014031117,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051111,0140511,1 Yes,3 No,1 Coal,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051118,0140511,1 Yes,3 No,6 crop residue/Wood burning,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051116,0140511,1 Yes,3 No,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051101,0140511,1 Yes,2 Water heater installed by the household,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2011,014051107,0140511,1 Yes,3 No,5 Electric,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
