,Year,HouseHoldID,communityID,has_running_water,inhouse_shower_Bath,cooking_fuel_source,num_toilet,toilet_type_1,toilet_type_2,ID,province,city,urban_nbs
0,2011,014031116,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
1,2011,014031105,0140311,1 Yes,2 Water heater installed by the household,1 Coal,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
2,2011,014031121,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
3,2011,014031119,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
4,2011,014031122,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
5,2011,014031103,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
6,2011,014031107,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
7,2011,014031101,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
8,2011,014031123,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
9,2011,014031112,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
10,2011,014031109,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
11,2011,014031108,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
12,2011,014031118,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
13,2011,014031113,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
14,2011,014031102,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
15,2011,014031120,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
16,2011,014031114,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
17,2011,014031110,0140311,1 Yes,,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
18,2011,014031111,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
19,2011,014031115,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
20,2011,014031117,0140311,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
21,2011,014031309,0140313,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
22,2011,014031313,0140313,1 Yes,2 Water heater installed by the household,2 Natural gas,2.0,1 Toilet without a seat,2 Toilet with a seat,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
23,2011,014031308,0140313,1 Yes,2 Water heater installed by the household,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
24,2011,014031303,0140313,1 Yes,2 Water heater installed by the household,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,À¥Ã÷ÊÐ,Urban
