,Year,HouseHoldID,communityID,has_running_water,inhouse_shower_Bath,cooking_fuel_source,num_toilet,toilet_type_1,toilet_type_2,ID,province,city,urban_nbs
0,2011,094004113,0940041,1 Yes,2 Water heater installed by the household,2 Natural gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
1,2011,094004103,0940041,1 Yes,2 Water heater installed by the household,2 Natural gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
2,2011,094004111,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
3,2011,094004105,0940041,1 Yes,3 No,2 Natural gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
4,2011,094004110,0940041,1 Yes,2 Water heater installed by the household,2 Natural gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
5,2011,094004115,0940041,1 Yes,3 No,2 Natural gas,0.0,1 Toilet without a seat,,,±±¾©,±±¾©,Urban
6,2011,094004108,0940041,1 Yes,2 Water heater installed by the household,2 Natural gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
7,2011,094004112,0940041,1 Yes,3 No,2 Natural gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
8,2011,094004106,0940041,1 Yes,3 No,4 Liquefied Petroleum Gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
9,2011,094004114,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
10,2011,094004118,0940041,1 Yes,2 Water heater installed by the household,2 Natural gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
11,2011,094004101,0940041,1 Yes,2 Water heater installed by the household,2 Natural gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
12,2011,094004104,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
13,2011,094004120,0940041,1 Yes,2 Water heater installed by the household,2 Natural gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
14,2011,094004121,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
15,2011,094004119,0940041,1 Yes,3 No,5 Electric,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
16,2011,094004122,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
17,2011,094004109,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,1.0,1 Toilet without a seat,,,±±¾©,±±¾©,Urban
18,2011,094004116,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
19,2011,094004117,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
20,2011,094004107,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
21,2011,094004102,0940041,1 Yes,2 Water heater installed by the household,4 Liquefied Petroleum Gas,0.0,1 Toilet without a seat,2 Toilet with a seat,,±±¾©,±±¾©,Urban
22,2011,094004219,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
23,2011,094004220,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
24,2011,094004210,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
25,2011,094004215,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
26,2011,094004205,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
27,2011,094004217,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,±±¾©,±±¾©,Urban
28,2011,094004201,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
29,2011,094004207,0940042,1 Yes,1 Hot water provided,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
30,2011,094004209,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
31,2011,094004213,0940042,1 Yes,1 Hot water provided,2 Natural gas,2.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
32,2011,094004208,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
33,2011,094004218,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
34,2011,094004214,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
35,2011,094004216,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
36,2011,094004204,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
37,2011,094004212,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
38,2011,094004211,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
39,2011,094004222,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
40,2011,094004206,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
41,2011,094004221,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
42,2011,094004203,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
43,2011,094004202,0940042,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
44,2011,094004310,0940043,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
45,2011,094004301,0940043,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,1 Toilet without a seat,,,±±¾©,±±¾©,Urban
46,2011,094004302,0940043,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
47,2011,094004308,0940043,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
48,2011,094004305,0940043,1 Yes,1 Hot water provided,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
49,2011,094004303,0940043,1 Yes,2 Water heater installed by the household,2 Natural gas,2.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
50,2011,094004307,0940043,1 Yes,2 Water heater installed by the household,2 Natural gas,2.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
51,2011,094004304,0940043,1 Yes,2 Water heater installed by the household,5 Electric,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
52,2011,094004306,0940043,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
53,2011,094004309,0940043,1 Yes,2 Water heater installed by the household,2 Natural gas,1.0,,2 Toilet with a seat,,±±¾©,±±¾©,Urban
