,Year,HouseHoldID,communityID,has_running_water,inhouse_shower_Bath,cooking_fuel_source,num_toilet,toilet_type_1,toilet_type_2,ID,province,city,urban_nbs
0,2011,014643115,0146431,2 No,3 No,6 crop residue/Wood burning,0.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
1,2011,014643112,0146431,2 No,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
2,2011,014643120,0146431,1 Yes,3 No,5 Electric,0.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
3,2011,014643124,0146431,2 No,3 No,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
4,2011,014643121,0146431,1 Yes,2 Water heater installed by the household,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
5,2011,014643102,0146431,1 Yes,3 No,6 crop residue/Wood burning,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
6,2011,014643122,0146431,2 No,3 No,5 Electric,0.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
7,2011,014643104,0146431,1 Yes,3 No,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
8,2011,014643114,0146431,2 No,3 No,5 Electric,0.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
9,2011,014643119,0146431,2 No,2 Water heater installed by the household,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
10,2011,014643123,0146431,1 Yes,2 Water heater installed by the household,1 Coal,3.0,,2 Toilet with a seat,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
11,2011,014643101,0146431,1 Yes,2 Water heater installed by the household,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
12,2011,014643107,0146431,1 Yes,2 Water heater installed by the household,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
13,2011,014643117,0146431,2 No,2 Water heater installed by the household,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
14,2011,014643105,0146431,2 No,2 Water heater installed by the household,5 Electric,1.0,1 Toilet without a seat,,,ÔÆÄÏÊ¡,ÁÙ²×ÊÐ,Urban
